col1,col2
Sri Kale Yadaiah,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_guntakandla_jagadish_reddy.jpg
Sri Kasireddy Narayan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ilaiah_beerla.jpg
Sri K Shankaraiah,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jaffar_hussain.jpg
Dr. T. Ram Mohan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jatoth_ram_chander_naik.jpg
Sri Gaddam Prasad Kumar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jupally_krishna_rao.jpg
Sri B. Manohar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kp_vivekanand.jpg
Sri Chamakura Malla Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_krnagarajk.jpg
Sri Marri Rajashekar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kshankaraiah.jpg
Sri K.P. Vivekanand,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kadiyam_srihari.jpg
Sri Madhavaram Krishna Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kale_yadaiah.jpg
Sri Bandari Lakshma Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kaleru_venkatesh.jpg
Sri Muta Gopal,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_chandrashekar_rao.jpg
Sri Ahmed Bin Abdullah Balala,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_sanjay.jpg
Sri Kaleru Venkatesh,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_taraka_rama_rao.jpg
Sri Danam Nagender,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kasireddy_narayan_reddy.jpg
Sri Maganti Gopinath,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_katipally_venkata_ramana_reddy.jpg
Sri Talasani Srinivas Yadav,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kausar_mohinuddin.jpg
Sri Mohammed Majid Hussain,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kaushik_reddy_padi.jpg
Sri Kausar Mohiuddin,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kokkirala_premsagar_rao.jpg
Sri T. Raja Singh,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_komati_reddy_venkat_reddy.jpg
Sri Mir Zulfeqar Ali,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_komatireddy_raj_gopal_reddy.jpg
Sri Akbar Uddin Owaisi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_koninty_manik_rao.jpg
Sri Jaffar Hussain,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_koram_kanakaiah.jpg
Sri Mohammed Mubeen,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kotta_prabhakar_reddy.jpg
