col1,matched_col2
Sri Anumula Revanth Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_a_revanth_reddy.jpg
Dr. Palvai Harish Babu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/dr_palvai_harish_babu.jpg
Smt. Kova Laxmi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smtkova_laxmi.jpg
Sri Vivek Venkat Swamy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vivek_venkat_swamy.jpg
Sri Gaddam Vinod,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gaddam_vinod.jpg
Sri Kokkirala Premsagar Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kokkirala_premsagar_rao.jpg
Sri Payal Shanker,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_payal_shanker.jpg
Sri Anil Jadhav,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anil_jadhav.jpg
Sri Vedma. Bhojju,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vedma_bhojju.jpg
Sri Alleti Maheshwar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_alleti_maheshwar_reddy.jpg
Sri Ram Rao Pawar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ram_rao_pawar.jpg
Sri Paidi Rakesh Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_paidi_rakesh_reddy.jpg
Sri P. Sudarshan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_p_sudarshan_reddy.jpg
Sri Srinivas Reddy Parige (Pocharam),https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_srinivas_reddy_parige_(pocharam).jpg
Sri Dhanpal Suryanarayana,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_dhanpal_suryanarayana.jpg
Sri Bhoopathi Reddy Rekulapally,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bhoopathi_reddy_rekulapally.jpg
Sri Prashanth Reddy Vemula,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_prashanth_reddy_vemula.jpg
Sri Laxmi Kantha Rao Thota,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_laxmi_kantha_rao_thota.jpg
Sri Madan Mohan Rao. K,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madan_mohan_raok.jpg
Sri Katipally Venkata Ramana Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_katipally_venkata_ramana_reddy.jpg
Sri Kalvakuntla Sanjay,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_sanjay.jpg
Sri Dr. Sanjay,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_drsanjay.jpg
Sri Adluri Laxman Kumar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_adluri_laxman_kumar.jpg
Sri Makkan Singh Raj Thakur,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mukkan_singh_raj_thakur.jpg
Sri Duddilla Sridhar Babu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_duddilla_sridhar_babu.jpg
Sri Chinthakunta Vijaya Ramana Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chinthakunta_vijaya_ramana_rao.jpg
Sri Gangula Kamalakar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gangula_kamalakar.jpg
Sri Medipally Sathyam,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_medipally_sathyam.jpg
Dr. Kavvampally Satyanarayana,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_dr_kavvampally_satyanarayana.jpg
Sri Kaushik Reddy Padi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kaushik_reddy_padi.jpg
Sri Aadi Srinivas,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_aadi_srinivas.jpg
Sri Kalvakuntla Taraka Rama Rao (K.T.R),https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_taraka_rama_rao.jpg
Sri Patlolla Sanjeeva Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_patlolla_sanjeeva_reddy.jpg
Sri C. Damodar Rajanarsimha,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_cdamodar_rajanarsimha.jpg
Sri Koninty Manik Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_koninty_manik_rao.jpg
Sri Chinta Prabhakar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chinta_prabhakar.jpg
Sri Gudem Mahipal Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gudem_mahipal_reddy.jpg
Sri Mynampally Rohith,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mynampally_rohith.jpg
Smt. Vakiti Sunitha Laxma Reddy,
Sri Ponnam Prabhakar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ponnam_prabhakar.jpg
Sri Thanneeru Harish Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_thanneeru_harish_rao.jpg
Sri Kotta Prabhakar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kotta_prabhakar_reddy.jpg
Sri Kalvakuntla Chandrashekar Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kalvakuntla_chandrashekar_rao.jpg
